dynamics,setting,param,gt_mean,est_mean,abs_err_mean,abs_err_std,rel_err_mean,n
dropped_ball,large,g,9.80665,9.920509961208044,0.17554936098327403,0.22461622036445503,0.01790105295725412,5
dropped_ball,medium,g,9.80665,10.053112043160825,0.4529716419621046,0.546415365558379,0.04619025273279442,5
dropped_ball,small,g,9.80665,9.44632799563113,0.4747544312366422,0.720625492371917,0.048411479071506974,5
free_fall,mousepad,g,9.80665,9.939098491294258,1.5977175225087485,1.107030604462891,0.16292184614609326,4
free_fall,table,g,9.80665,9.934256150164407,0.201199002792044,0.1028008316450677,0.020516588518201782,5
free_fall,tennis,g,9.80665,9.573085056800187,0.5050613473401426,0.36444168930867177,0.051501924443116784,5
led,led_10s,decay,0.4600000000000001,1.0734585125267393,0.6502880886170754,0.27911084995273994,1.413669757860134,5
led,led_2s,decay,2.3,1.3379979019075683,0.9620020980924316,0.03220919525495288,0.4182617817791362,5
led,led_5s,decay,0.9200000000000002,1.2685435855656932,0.3485435855656932,0.010561192356406575,0.378851723440559,5
pendulum,pendulum_150,damping,-0.05924256555362806,0.008318596482276917,0.06756116203590498,0.0033628070354461636,1.1404158716523891,5
pendulum,pendulum_150,length_m,1.5,1.732850930758034,1.3307596018043373,1.3284087940071632,0.8871730678689668,5
pendulum,pendulum_45,damping,-0.05924256555362806,0.00785624861717224,0.0670988141708003,0.001997402118538677,1.1326115529032572,5
pendulum,pendulum_45,length_m,0.45,0.8203535383148642,0.7213062445870527,0.5753122062406324,1.6029027657454442,5
pendulum,pendulum_90,damping,-0.05924256555362806,0.003057844161987305,0.06230040971561537,0.0002790728343924075,1.0516156606716778,5
pendulum,pendulum_90,length_m,0.9,0.29679553092710176,0.6032044690728983,0.0038267784560948887,0.6702271878580313,5
sliding_block,high,angle_deg,30.0,25.0,5.0,0.0,0.16666666666666113,5
sliding_block,high,friction,0.2075707423845489,0.20757074238454892,5.551115123125783e-17,0.0,2.6743244540769406e-16,5
sliding_block,low,angle_deg,20.0,25.0,5.0,0.0,0.2499999999999875,5
sliding_block,low,friction,0.2075707423845489,0.20757074238454892,5.551115123125783e-17,0.0,2.6743244540769406e-16,5
sliding_block,mid,angle_deg,25.0,25.0,0.0,0.0,0.0,5
sliding_block,mid,friction,0.2075707423845489,0.20757074238454892,5.551115123125783e-17,0.0,2.6743244540769406e-16,5
torricelli,large,k,0.016202065833479495,0.06552163600921632,0.05233594185824971,0.036377883157091576,3.230201777533454,5
torricelli,medium,k,0.0128264315869546,0.09939589691162108,0.0865694653246665,0.006943925376477132,6.749302386328909,5
torricelli,small,k,0.009553717173659406,0.0970940637588501,0.08754034658519069,0.001330189803557697,9.162961911556852,4
