dynamics,setting,param,gt_mean,est_mean,abs_err_mean,abs_err_std,rel_err_mean,n
dropped_ball,large,g,9.80665,10.000244161382886,0.26358307395592523,0.2543434663715338,0.026877993397938987,3
dropped_ball,medium,g,9.80665,10.053112043160825,0.4529716419621046,0.546415365558379,0.04619025273279442,5
dropped_ball,small,g,9.80665,9.44632799563113,0.4747544312366422,0.720625492371917,0.048411479071506974,5
led,led_10s,decay,0.4600000000000001,1.0734585125267393,0.6502880886170754,0.27911084995273994,1.413669757860134,5
led,led_2s,decay,2.3,1.3219058194418776,0.9780941805581223,0.0014194130130595242,0.4252583393729118,4
led,led_5s,decay,0.9200000000000002,1.2685435855656932,0.3485435855656932,0.010561192356406575,0.378851723440559,5
pendulum,pendulum_150,damping,-0.05924256555362806,0.0015929824113845826,0.06083554796501264,0.0,1.0268891530181232,1
pendulum,pendulum_150,length_m,1.5,0.47895031141363154,1.0210496885863685,0.0,0.6806997923904585,1
pendulum,pendulum_45,damping,-0.05924256555362806,0.006427081028620402,0.06566964658224846,0.0012421991445900737,1.1084875539647914,3
pendulum,pendulum_45,length_m,0.45,0.15753941143984287,0.29246058856015716,0.0021696755815477278,0.6499124190211272,3
pendulum,pendulum_90,damping,-0.05924256555362806,0.003057844161987305,0.06230040971561537,0.0002790728343924075,1.0516156606716778,5
pendulum,pendulum_90,length_m,0.9,0.29679553092710176,0.6032044690728983,0.0038267784560948887,0.6702271878580313,5
sliding_block,high,angle_deg,30.0,25.0,5.0,0.0,0.16666666666666113,5
sliding_block,high,friction,0.2075707423845489,0.20757074238454892,5.551115123125783e-17,0.0,2.6743244540769406e-16,5
sliding_block,low,angle_deg,20.0,25.0,5.0,0.0,0.2499999999999875,5
sliding_block,low,friction,0.2075707423845489,0.20757074238454892,5.551115123125783e-17,0.0,2.6743244540769406e-16,5
sliding_block,mid,angle_deg,25.0,25.0,0.0,0.0,0.0,5
sliding_block,mid,friction,0.2075707423845489,0.20757074238454892,5.551115123125783e-17,0.0,2.6743244540769406e-16,5
torricelli,large,k,0.016202065833479495,0.06552163600921632,0.05233594185824971,0.036377883157091576,3.230201777533454,5
torricelli,medium,k,0.0128264315869546,0.09939589691162108,0.0865694653246665,0.006943925376477132,6.749302386328909,5
torricelli,small,k,0.009553717173659406,0.0970940637588501,0.08754034658519069,0.001330189803557697,9.162961911556852,4
