path,gt,pred
./delfys75\dropped_ball\large\01\01.npy,dropped_ball,dropped_ball
./delfys75\dropped_ball\large\02\02.npy,dropped_ball,dropped_ball
./delfys75\dropped_ball\large\03\03.npy,dropped_ball,free_fall
./delfys75\dropped_ball\large\04\04.npy,dropped_ball,free_fall
./delfys75\dropped_ball\large\05\05.npy,dropped_ball,dropped_ball
./delfys75\dropped_ball\medium\01\01.npy,dropped_ball,dropped_ball
./delfys75\dropped_ball\medium\02\02.npy,dropped_ball,dropped_ball
./delfys75\dropped_ball\medium\03\03.npy,dropped_ball,dropped_ball
./delfys75\dropped_ball\medium\04\04.npy,dropped_ball,dropped_ball
./delfys75\dropped_ball\medium\05\05.npy,dropped_ball,dropped_ball
./delfys75\dropped_ball\small\01\01.npy,dropped_ball,dropped_ball
./delfys75\dropped_ball\small\02\02.npy,dropped_ball,dropped_ball
./delfys75\dropped_ball\small\03\03.npy,dropped_ball,dropped_ball
./delfys75\dropped_ball\small\04\04.npy,dropped_ball,dropped_ball
./delfys75\dropped_ball\small\05\05.npy,dropped_ball,dropped_ball
./delfys75\free_fall\mousepad\01\01.npy,free_fall,pendulum
./delfys75\free_fall\mousepad\02\02.npy,free_fall,sliding_block
./delfys75\free_fall\mousepad\03\03.npy,free_fall,dropped_ball
./delfys75\free_fall\mousepad\04\04.npy,free_fall,pendulum
./delfys75\free_fall\mousepad\05\05.npy,free_fall,pendulum
./delfys75\free_fall\table\01\01.npy,free_fall,pendulum
./delfys75\free_fall\table\02\02.npy,free_fall,pendulum
./delfys75\free_fall\table\03\03.npy,free_fall,dropped_ball
./delfys75\free_fall\table\04\04.npy,free_fall,pendulum
./delfys75\free_fall\table\05\05.npy,free_fall,pendulum
./delfys75\free_fall\tennis\01\01.npy,free_fall,pendulum
./delfys75\free_fall\tennis\02\02.npy,free_fall,pendulum
./delfys75\free_fall\tennis\03\03.npy,free_fall,sliding_block
./delfys75\free_fall\tennis\04\04.npy,free_fall,pendulum
./delfys75\free_fall\tennis\05\05.npy,free_fall,pendulum
./delfys75\led\led_10s\01\01.npy,led,led
./delfys75\led\led_10s\02\02.npy,led,led
./delfys75\led\led_10s\03\03.npy,led,led
./delfys75\led\led_10s\04\04.npy,led,led
./delfys75\led\led_10s\05\05.npy,led,led
./delfys75\led\led_2s\01\01.npy,led,led
./delfys75\led\led_2s\02\02.npy,led,led
./delfys75\led\led_2s\03\03.npy,led,free_fall
./delfys75\led\led_2s\04\04.npy,led,led
./delfys75\led\led_2s\05\05.npy,led,led
./delfys75\led\led_5s\01\01.npy,led,led
./delfys75\led\led_5s\02\02.npy,led,led
./delfys75\led\led_5s\03\03.npy,led,led
./delfys75\led\led_5s\04\04.npy,led,led
./delfys75\led\led_5s\05\05.npy,led,led
./delfys75\pendulum\pendulum_150\01\01.npy,pendulum,free_fall
./delfys75\pendulum\pendulum_150\02\02.npy,pendulum,pendulum
./delfys75\pendulum\pendulum_150\03\03.npy,pendulum,free_fall
./delfys75\pendulum\pendulum_150\04\04.npy,pendulum,free_fall
./delfys75\pendulum\pendulum_150\05\05.npy,pendulum,free_fall
./delfys75\pendulum\pendulum_45\01\01.npy,pendulum,free_fall
./delfys75\pendulum\pendulum_45\02\02.npy,pendulum,pendulum
./delfys75\pendulum\pendulum_45\03\03.npy,pendulum,dropped_ball
./delfys75\pendulum\pendulum_45\04\04.npy,pendulum,pendulum
./delfys75\pendulum\pendulum_45\05\05.npy,pendulum,pendulum
