dynamics,setting,param,gt_mean,est_mean,abs_err_mean,abs_err_std,rel_err_mean,n
dropped_ball,large,g,9.80665,9.985661506652832,0.24842278106689442,0.3996473327107649,0.02533207375243954,5
dropped_ball,medium,g,9.80665,10.101539611816406,0.48629878417968764,0.5855620796702861,0.049588675457442534,5
dropped_ball,small,g,9.80665,9.420251846313477,0.5337882025146481,0.7912651352336643,0.054431248439498196,5
free_fall,mousepad,g,9.80665,9.510093116760254,3.656673654479981,3.26909630646337,0.3728769411004465,5
free_fall,table,g,9.80665,8.751644611358643,1.0550053886413568,1.0647593707507974,0.10758060995657016,5
free_fall,tennis,g,9.80665,9.137687873840331,1.0576494540405275,0.9552145482442553,0.10785022959213825,5
led,led_10s,decay,0.46,0.0,0.4600000000000001,5.551115123125783e-17,0.9999999997826088,5
led,led_2s,decay,2.3,0.0,2.3,0.0,0.9999999999565218,5
led,led_5s,decay,0.92,0.0,0.9200000000000002,1.1102230246251565e-16,0.9999999998913045,5
pendulum,pendulum_150,length_m,1.5,31.033484707354567,29.533484707354567,0.37142693537221044,19.688989803590445,5
pendulum,pendulum_150,damping,-0.05924256555362806,-0.18221386671066284,0.12297130115703478,0.021735314164225784,2.075725448421796,5
pendulum,pendulum_45,length_m,0.45,95.20454873045234,94.75454873045234,1.477339737407863,210.56566379865728,5
pendulum,pendulum_45,damping,-0.05924256555362806,-0.6438977003097535,0.5846551347561253,0.2142063422682564,9.868835495316207,5
pendulum,pendulum_90,length_m,0.9,51.264887158585886,50.36488715858589,0.7280491091121645,55.960985725544205,5
pendulum,pendulum_90,damping,-0.05924256555362806,-0.3475611984729767,0.2883186329193486,0.04541225305009288,4.866747915764715,5
sliding_block,high,angle_deg,30.0,30.0,0.0,0.0,0.0,5
sliding_block,high,friction,0.20757074238454887,10.0,9.792429257615451,0.0,47.17634643689912,5
sliding_block,low,angle_deg,20.0,20.0,0.0,0.0,0.0,5
sliding_block,low,friction,0.20757074238454887,10.0,9.792429257615451,0.0,47.17634643689912,5
sliding_block,mid,angle_deg,25.0,25.0,0.0,0.0,0.0,5
sliding_block,mid,friction,0.20757074238454887,10.0,9.792429257615451,0.0,47.17634643689912,5
torricelli,large,k,0.016202065833479495,6.285204732418061,6.269002666584582,4.3232902825511195,386.926129811044,5
torricelli,medium,k,0.0128264315869546,9.93707504272461,9.924248611137653,0.1314869652119056,773.7341805851837,5
torricelli,small,k,0.009553717173659406,7.16444149017334,7.158709259869144,3.684858602768371,749.31139940748,5
