dynamics,setting,param,gt_mean,est_mean,abs_err_mean,abs_err_std,rel_err_mean,n
dropped_ball,large,g,9.80665,6.2839500427246096,8.362309549560546,1.9880961731318336,0.8527182625540093,5
dropped_ball,medium,g,9.80665,5.198537421226502,5.09290535282135,2.458375252952065,0.519331815938105,5
dropped_ball,small,g,9.80665,8.173908042907716,5.304413763122558,2.231331618320349,0.5408996714544181,5
free_fall,mousepad,g,9.80665,6.316571152210235,6.926888898448944,2.3728352447035057,0.7063460915173183,5
free_fall,table,g,9.80665,2.2475942611694335,7.5590557388305655,0.9394267555802407,0.7708091691610779,5
free_fall,tennis,g,9.80665,3.249620199203491,6.557029800796508,2.122615505891066,0.6686309596783454,5
led,led_10s,decay,0.46,1.1877479076385498,0.9117479076385498,0.5972890598736608,1.9820606683485733,5
led,led_2s,decay,2.3,1.9983336210250855,0.40537701129913317,0.3186445130590783,0.17625087447022092,5
led,led_5s,decay,0.92,1.065212607383728,0.7282673749923706,0.3185358460080416,0.7915949727317512,5
pendulum,pendulum_150,length_m,1.5,4.818108980579967,3.318108980579967,2.4458914450233182,2.2120726535725064,5
pendulum,pendulum_150,damping,-0.05924256555362806,-4.884006786346435,4.824764220792807,0.5054818332909552,81.44083848430246,5
pendulum,pendulum_45,length_m,0.45,4.595107897747892,4.1451078977478915,2.8835413217365664,9.211350881837236,5
pendulum,pendulum_45,damping,-0.05924256555362806,-4.178521633148193,4.119279067594565,1.5133559371633034,69.53242186840194,5
pendulum,pendulum_90,length_m,0.9,4.541671358447827,3.6416713584478275,2.404664336284394,4.046301508936886,5
pendulum,pendulum_90,damping,-0.05924256555362806,-3.1578776359558107,3.0986350704021826,1.2325027404677389,52.304201146839084,5
sliding_block,high,angle_deg,30.0,30.0,0.0,0.0,0.0,5
sliding_block,high,friction,0.20757074238454887,3.748315382003784,3.6237729365730544,2.334556162536593,17.45801403992569,5
sliding_block,low,angle_deg,20.0,20.0,0.0,0.0,0.0,5
sliding_block,low,friction,0.20757074238454887,0.040500272781355304,0.16707046960319355,0.05022127905249758,0.8048844822898387,5
sliding_block,mid,angle_deg,25.0,25.0,0.0,0.0,0.0,5
sliding_block,mid,friction,0.20757074238454887,0.5941560685634613,0.5526419200865516,0.6859570352217395,2.662426859737658,5
torricelli,large,k,0.016202065833479495,11.264628517627717,11.248426451794236,14.081419049724515,694.2587752683318,5
torricelli,medium,k,0.0128264315869546,0.9686877429485321,0.9712530292659232,1.752949682135468,75.72277722835082,5
torricelli,small,k,0.009553717173659406,7.448552560806275,7.438998843632615,8.43006614636335,778.6496743150135,5
