dynamics,setting,param,gt_mean,est_mean,abs_err_mean,abs_err_std,rel_err_mean,n
dropped_ball,large,g,9.80665,11.635496044158936,8.309271684722901,6.720876102349333,0.8473099054863965,5
dropped_ball,medium,g,9.80665,2.9899532794952393,6.81669672050476,1.3500850577012846,0.6951096164781296,5
dropped_ball,small,g,9.80665,10.401133251190185,3.5050953541564938,3.4395175587244315,0.35742025606305433,5
free_fall,mousepad,g,9.80665,5.535274314880371,4.3970997793579105,3.14319787128852,0.44837939350472106,5
free_fall,table,g,9.80665,2.975638484954834,6.831011515045165,1.6661989682575145,0.6965693192859446,5
free_fall,tennis,g,9.80665,2.6419225931167603,7.164727406883239,2.173354592061636,0.7305988698291649,5
led,led_10s,decay,0.46,1.7842800855636596,1.3242800855636596,0.3723365034364098,2.8788697505995056,5
led,led_2s,decay,2.3,1.9061541080474853,0.49112847328186027,0.26021599937873247,0.21353411880891604,5
led,led_5s,decay,0.92,1.7415934801101685,0.8215934801101685,0.22598217090722436,0.8930363913270271,5
pendulum,pendulum_150,length_m,1.5,2.142006047632516,0.7227924683150391,0.9333954335821982,0.4818616455112353,5
pendulum,pendulum_150,damping,-0.05924256555362806,-4.147390413284302,4.088147847730673,0.7641887475395159,69.00693450099274,5
pendulum,pendulum_45,length_m,0.45,3.7191895880223242,3.269189588022324,1.647952958640762,7.264865749546305,5
pendulum,pendulum_45,damping,-0.05924256555362806,-3.133572441339493,3.132048935221885,2.044719799616471,52.86821900209306,5
pendulum,pendulum_90,length_m,0.9,12.464569666781388,11.652143897266358,12.073872278169153,12.946826551079639,5
pendulum,pendulum_90,damping,-0.05924256555362806,-2.2347398519515993,2.39144926123545,1.8467298498515266,40.367077874673306,5
sliding_block,high,angle_deg,30.0,30.0,0.0,0.0,0.0,5
sliding_block,high,friction,0.20757074238454887,3.5909464836120604,3.383375741227512,0.826493733756341,16.299868183394697,5
sliding_block,low,angle_deg,20.0,20.0,0.0,0.0,0.0,5
sliding_block,low,friction,0.20757074238454887,0.8658846139907836,0.9073987624676935,1.4713800138361854,4.3715157136619975,5
sliding_block,mid,angle_deg,25.0,25.0,0.0,0.0,0.0,5
sliding_block,mid,friction,0.20757074238454887,1.7690897941589356,1.8106039426358453,1.9633248232716658,8.722828279956762,5
torricelli,large,k,0.016202065833479495,11.847485315799712,11.831283249966233,10.942155024617541,730.2330022937631,5
torricelli,medium,k,0.0128264315869546,6.508851313591004,6.501155454638831,8.845926305964774,506.85612439280146,5
torricelli,small,k,0.009553717173659406,5.276242864131928,5.266689146958268,5.2064843318274665,551.2711959227723,5
