dynamics,setting,param,gt_mean,est_mean,abs_err_mean,abs_err_std,rel_err_mean,n
dropped_ball,large,g,9.80665,0.0,9.80665,0.0,0.9999999999898028,5
dropped_ball,medium,g,9.80665,0.0,9.80665,0.0,0.9999999999898028,5
dropped_ball,small,g,9.80665,0.0,9.80665,0.0,0.9999999999898028,5
free_fall,mousepad,g,9.80665,0.0,9.80665,0.0,0.9999999999898028,5
free_fall,table,g,9.80665,0.0,9.80665,0.0,0.9999999999898028,5
free_fall,tennis,g,9.80665,0.0,9.80665,0.0,0.9999999999898028,5
led,led_10s,decay,0.46,1.5187588691711427,1.2427588691711426,0.6701154913306077,2.7016497150021253,5
led,led_2s,decay,2.3,1.978997564315796,0.404420404434204,0.3647091154807619,0.17583495844200894,5
led,led_5s,decay,0.92,1.8429271221160888,0.922927122116089,0.3793402593271067,1.0031816543649683,5
pendulum,pendulum_150,length_m,1.5,1.6278635271118618,0.7110117175999197,0.5559584963905202,0.47400781170167927,5
pendulum,pendulum_150,damping,-0.05924256555362806,-4.444772386550904,4.3855298209972755,0.6112192839416898,74.02666938224851,5
pendulum,pendulum_45,length_m,0.45,4.251163242064748,3.801163242064748,2.867990885419839,8.447029424933433,5
pendulum,pendulum_45,damping,-0.05924256555362806,-5.179440641403199,5.12019807584957,0.6738633334469302,86.42768960726139,5
pendulum,pendulum_90,length_m,0.9,3.8279033663027837,2.927903366302784,2.5879031126149874,3.253225962197179,5
pendulum,pendulum_90,damping,-0.05924256555362806,-3.0956912517547606,3.0364486862011324,2.0723227525150327,51.25451021068629,5
sliding_block,high,angle_deg,30.0,30.0,0.0,0.0,0.0,5
sliding_block,high,friction,0.20757074238454887,0.0,0.2075707423845489,2.7755575615628914e-17,0.9999999995182366,5
sliding_block,low,angle_deg,20.0,20.0,0.0,0.0,0.0,5
sliding_block,low,friction,0.20757074238454887,0.0,0.2075707423845489,2.7755575615628914e-17,0.9999999995182366,5
sliding_block,mid,angle_deg,25.0,25.0,0.0,0.0,0.0,5
sliding_block,mid,friction,0.20757074238454887,0.0,0.2075707423845489,2.7755575615628914e-17,0.9999999995182366,5
torricelli,large,k,0.016202065833479495,2.9310969352722167,2.9148948694387373,2.693669282087854,179.9088388731637,5
torricelli,medium,k,0.0128264315869546,9.58406205177307,9.581496765455679,11.13094733694496,747.0118735517648,5
torricelli,small,k,0.009553717173659406,5.6907784909009935,5.685046260596797,9.800016009259739,595.061178570886,5
