dynamics,setting,param,gt_mean,est_mean,abs_err_mean,abs_err_std,rel_err_mean,n
dropped_ball,large,g,9.80665,9.985661506652832,0.24842278106689442,0.3996473327107649,0.02533207375243954,5
dropped_ball,medium,g,9.80665,10.101539611816406,0.48629878417968764,0.5855620796702861,0.049588675457442534,5
dropped_ball,small,g,9.80665,9.420251846313477,0.5337882025146481,0.7912651352336643,0.054431248439498196,5
free_fall,mousepad,g,9.80665,7.036311340332031,2.770338659667968,3.546855668262032,0.28249592466741635,5
free_fall,table,g,9.80665,9.827464485168457,0.15303214447021496,0.05085496872128515,0.015604935882146755,5
free_fall,tennis,g,9.80665,9.494311618804932,0.5112513865661622,0.6611266249177752,0.05213313277836457,5
led,led_10s,decay,0.46,0.0,0.4600000000000001,5.551115123125783e-17,0.9999999997826088,5
led,led_2s,decay,2.3,0.4,1.9,0.4898979485566356,0.8260869564858223,5
led,led_5s,decay,0.92,0.0,0.9200000000000002,1.1102230246251565e-16,0.9999999998913045,5
pendulum,pendulum_150,length_m,1.5,72.76864567441484,71.86864567441484,118.97972545602067,47.912430446415726,5
pendulum,pendulum_150,damping,-0.05924256555362806,-1.0,0.940757434446372,1.1102230246251565e-16,15.87975510626386,5
pendulum,pendulum_45,length_m,0.45,24.099624839166843,23.64962483916684,35.10616564867089,52.55472185313637,5
pendulum,pendulum_45,damping,-0.05924256555362806,-0.9638432741165162,0.9046007085628881,0.07231345176696778,15.26943842796737,5
pendulum,pendulum_90,length_m,0.9,51.264887158585886,50.36488715858589,0.7280491091121645,55.960985725544205,5
pendulum,pendulum_90,damping,-0.05924256555362806,-0.3475611984729767,0.2883186329193486,0.04541225305009288,4.866747915764715,5
sliding_block,high,angle_deg,30.0,30.0,0.0,0.0,0.0,5
sliding_block,high,friction,0.20757074238454887,10.0,9.792429257615451,0.0,47.17634643689912,5
sliding_block,low,angle_deg,20.0,20.0,0.0,0.0,0.0,5
sliding_block,low,friction,0.20757074238454887,10.0,9.792429257615451,0.0,47.17634643689912,5
sliding_block,mid,angle_deg,25.0,25.0,0.0,0.0,0.0,5
sliding_block,mid,friction,0.20757074238454887,10.0,9.792429257615451,0.0,47.17634643689912,5
torricelli,large,k,0.016202065833479495,6.285204732418061,6.269002666584582,4.3232902825511195,386.926129811044,5
torricelli,medium,k,0.0128264315869546,9.93707504272461,9.924248611137653,0.1314869652119056,773.7341805851837,5
torricelli,small,k,0.009553717173659406,7.16444149017334,7.158709259869144,3.684858602768371,749.31139940748,5
