phenomenon,setting,clip_idx,alpha,beta,max_z,min_z,z0,z1
Dropping_ball,drop_50,4,9.760924339294434,1.0,0.0,0.0,0.0,0.0
Dropping_ball,drop_50,5,9.760924339294434,1.0,0.0,0.0,0.0,0.0
Dropping_ball,drop_50,6,9.760924339294434,1.0,0.0,0.0,0.0,0.0
Dropping_ball,drop_50,7,9.760924339294434,1.0,0.0,0.0,0.0,0.0
Dropping_ball,drop_50,8,9.760924339294434,1.0,0.0,0.0,0.0,0.0
Dropping_ball,drop_50,9,9.760924339294434,1.0,0.0,0.0,0.0,0.0
Falling_ball,small,4,9.64075756072998,1.0,0.0,0.0,0.0,0.0
Falling_ball,small,5,9.64075756072998,1.0,0.0,0.0,0.0,0.0
Falling_ball,small,6,9.64075756072998,1.0,0.0,0.0,0.0,0.0
Falling_ball,small,7,9.64075756072998,1.0,0.0,0.0,0.0,0.0
Falling_ball,small,8,9.64075756072998,1.0,0.0,0.0,0.0,0.0
Falling_ball,small,9,9.64075756072998,1.0,0.0,0.0,0.0,0.0
Pendulum,pendulum_90,4,0.43467774987220764,0.1833004206418991,0.0,0.0,0.0,0.0
Pendulum,pendulum_90,5,0.43467774987220764,0.1833004206418991,0.0,0.0,0.0,0.0
Pendulum,pendulum_90,6,0.43467774987220764,0.1833004206418991,0.0,0.0,0.0,0.0
Pendulum,pendulum_90,7,0.43467774987220764,0.1833004206418991,0.0,0.0,0.0,0.0
Pendulum,pendulum_90,8,0.43467774987220764,0.1833004206418991,0.0,0.0,0.0,0.0
Pendulum,pendulum_90,9,0.43467774987220764,0.1833004206418991,0.0,0.0,0.0,0.0
Rotation,slow,4,0.6771844029426575,0.8807733654975891,0.0,0.0,0.0,0.0
Rotation,slow,5,0.6771844029426575,0.8807733654975891,0.0,0.0,0.0,0.0
Rotation,slow,6,0.6771844029426575,0.8807733654975891,0.0,0.0,0.0,0.0
Rotation,slow,7,0.6771844029426575,0.8807733654975891,0.0,0.0,0.0,0.0
Rotation,slow,8,0.6771844029426575,0.8807733654975891,0.0,0.0,0.0,0.0
Rotation,slow,9,0.6771844029426575,0.8807733654975891,0.0,0.0,0.0,0.0
Sliding_cone,cone_80,4,0.42455941438674927,10.0,0.0,0.0,0.0,0.0
Sliding_cone,cone_80,5,0.42455941438674927,10.0,0.0,0.0,0.0,0.0
Sliding_cone,cone_80,6,0.42455941438674927,10.0,0.0,0.0,0.0,0.0
Sliding_cone,cone_80,7,0.42455941438674927,10.0,0.0,0.0,0.0,0.0
Sliding_cone,cone_80,8,0.42455941438674927,10.0,0.0,0.0,0.0,0.0
Sliding_cone,cone_80,9,0.42455941438674927,10.0,0.0,0.0,0.0,0.0
